TI_label,TI_input,TI_input_percent,model,model_label,y_rel_m,y_over_D,inside_rotor,U_model_mps,TI_model,TI_model_percent,U_LES_mps,TI_LES,TI_LES_percent
7.0%,0.07036741444444444,7.036741444444444,BPA2014,BPA2014,-192.0,-0.8,False,8.75712060473875,0.12039500760774483,12.039500760774482,8.372120833333334,0.07950833333333333,7.950833333333334
7.0%,0.07036741444444444,7.036741444444444,BPA2014,BPA2014,-168.0,-0.7,False,8.759421403074125,0.12039500760774483,12.039500760774482,8.395104166666666,0.08047499999999999,8.0475
7.0%,0.07036741444444444,7.036741444444444,BPA2014,BPA2014,-144.0,-0.6,False,8.756394948270506,0.12039500760774483,12.039500760774482,8.408004166666666,0.0812875,8.12875
7.0%,0.07036741444444444,7.036741444444444,BPA2014,BPA2014,-120.0,-0.5,True,8.747391862391575,0.1345606731602849,13.45606731602849,8.398683333333333,0.0823,8.23
7.0%,0.07036741444444444,7.036741444444444,BPA2014,BPA2014,-96.0,-0.4,True,8.73176996186122,0.1345606731602849,13.45606731602849,8.3687125,0.08320833333333334,8.320833333333335
7.0%,0.07036741444444444,7.036741444444444,BPA2014,BPA2014,-72.0,-0.3,True,8.709021525712231,0.1345606731602849,13.45606731602849,8.326408333333333,0.08410416666666667,8.410416666666668
7.0%,0.07036741444444444,7.036741444444444,BPA2014,BPA2014,-48.0,-0.2,True,8.678886152498677,0.1345606731602849,13.45606731602849,8.278204166666667,0.0857875,8.57875
7.0%,0.07036741444444444,7.036741444444444,BPA2014,BPA2014,-24.0,-0.1,True,8.641445635719492,0.1345606731602849,13.45606731602849,8.233437499999999,0.08675416666666667,8.675416666666667
7.0%,0.07036741444444444,7.036741444444444,BPA2014,BPA2014,0.0,0.0,True,8.597195758772386,0.1345606731602849,13.45606731602849,8.177191666666666,0.086725,8.6725
7.0%,0.07036741444444444,7.036741444444444,BPA2014,BPA2014,24.0,0.1,True,8.547088758264962,0.1345606731602849,13.45606731602849,8.11985,0.0876875,8.76875
7.0%,0.07036741444444444,7.036741444444444,BPA2014,BPA2014,48.0,0.2,True,8.492540177915508,0.1345606731602849,13.45606731602849,8.045795833333333,0.08802916666666666,8.802916666666667
7.0%,0.07036741444444444,7.036741444444444,BPA2014,BPA2014,72.0,0.3,True,8.435395315616171,0.1345606731602849,13.45606731602849,7.992312500000001,0.08847916666666668,8.847916666666668
7.0%,0.07036741444444444,7.036741444444444,BPA2014,BPA2014,96.0,0.4,True,8.377853465250945,0.1345606731602849,13.45606731602849,7.971504166666666,0.087875,8.7875
7.0%,0.07036741444444444,7.036741444444444,BPA2014,BPA2014,120.0,0.5,True,8.322352346977846,0.1345606731602849,13.45606731602849,7.900383333333333,0.08824166666666666,8.824166666666667
7.0%,0.07036741444444444,7.036741444444444,BPA2014,BPA2014,144.0,0.6,False,8.27141990588632,0.1345606731602849,13.45606731602849,7.8137875,0.08926666666666666,8.926666666666666
